11:58:18.308 -> $47700;-0.00;-0.01;1.01;-0.00;-0.01;1.02;1.59;2.99;5.79;-0.73;0.18;-9.33;18.58;53.93;14.79;19.66;55.01;14.79;101534.89;21.62;-0.00;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:18.401 -> $47800;-0.00;-0.01;1.02;-0.00;-0.01;1.02;1.95;-1.04;14.02;1.77;-2.50;-5.91;19.66;54.29;15.48;18.76;55.20;16.00;101532.97;21.62;0.01;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:18.494 -> $47900;-0.01;-0.01;1.01;-0.00;-0.01;1.02;-4.45;-4.70;-5.91;-1.52;5.85;-1.46;18.94;53.20;15.83;18.94;53.20;15.83;101525.05;21.61;0.06;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:18.588 -> $48000;-0.00;-0.01;1.01;-0.00;-0.01;1.01;0.24;2.20;1.52;1.95;0.73;-4.88;16.78;54.65;16.53;16.78;54.65;16.53;101526.39;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:18.681 -> $48100;0.00;-0.01;1.01;-0.00;-0.01;1.02;3.35;3.41;1.16;-1.16;-1.89;11.16;19.66;53.56;16.53;19.66;53.56;16.53;101529.96;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:18.775 -> $48200;-0.00;-0.01;1.01;-0.00;-0.01;1.02;0.98;-2.93;4.76;-4.27;-1.83;0.30;19.30;54.65;16.18;19.30;54.65;16.18;101532.97;21.62;0.01;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:18.871 -> $48300;-0.00;-0.01;1.02;-0.00;-0.01;1.02;2.38;-0.85;10.98;-1.34;3.60;-2.74;19.48;55.92;16.35;19.48;55.92;16.35;101531.91;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.008 -> $48400;-0.01;-0.01;1.02;-0.00;-0.01;1.01;-1.34;2.62;-4.33;-1.16;4.02;-2.01;18.76;53.74;16.00;18.58;54.65;15.83;101526.22;21.62;0.05;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.102 -> $48500;-0.01;-0.01;1.02;-0.00;-0.01;1.02;-0.55;4.02;8.66;1.95;-6.16;-0.43;19.30;55.01;17.22;19.48;55.56;16.70;101529.63;21.63;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.196 -> $48600;-0.00;-0.01;1.01;-0.01;-0.01;1.01;0.61;-2.07;11.16;2.13;-1.46;-5.43;19.12;53.38;16.70;19.12;53.38;16.70;101529.52;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.290 -> $48700;0.00;-0.01;1.01;-0.00;-0.01;1.02;-3.66;1.16;4.02;-1.34;3.23;-3.96;18.04;54.83;17.05;18.04;54.83;17.05;101529.02;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.383 -> $48800;-0.00;-0.01;1.01;-0.00;-0.01;1.02;0.00;0.18;10.79;0.24;8.11;2.80;17.68;54.83;14.96;17.68;54.83;14.96;101529.52;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.479 -> $48900;-0.00;-0.01;1.02;-0.00;-0.01;1.02;0.61;-0.61;-5.24;0.98;12.99;3.17;18.40;54.83;16.70;18.40;54.83;16.70;101531.19;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.570 -> $49000;-0.00;-0.01;1.02;-0.00;-0.01;1.01;-1.16;-10.61;8.48;-2.87;12.56;1.89;19.48;53.02;16.35;19.48;53.02;16.35;101530.62;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.710 -> $49100;-0.00;-0.01;1.02;-0.01;-0.01;1.02;-1.34;9.57;-4.33;-3.48;9.51;-1.83;18.22;53.20;16.18;18.22;53.20;16.18;101531.51;21.62;0.02;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.802 -> $49200;-0.00;-0.01;1.02;-0.01;-0.01;1.02;0.98;-4.94;8.66;-1.52;1.16;0.12;19.12;54.11;15.66;18.58;54.65;15.48;101532.93;21.62;0.01;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
11:58:19.895 -> $49300;-0.00;-0.02;1.01;-0.01;-0.01;1.02;-1.71;5.24;3.84;-1.89;8.48;12.26;20.20;53.74;16.35;18.58;54.29;16.53;101528.88;21.62;0.03;0.00;0.00;0.00;0.0000000000;0.0000000000;0.0000000000;0;0;0;0.00;0;0;0*
